地區,姓名,性別,推薦政黨,抽籤號次,圖片網址,年齡
1,謝維洲,男,民進黨,1,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/c0.19.851.315/p851x315/10661680_786072221457819_2683249416162471896_o.jpg,31
1,賴素如,女,無,2,,50
1,孫士堅,男,無,3,,55
1,潘懷宗,男,新黨,4,,53
1,林瑞圖,男,無,5,,58
1,周佳君,女,人民民主陣線,6,,47
1,王奕凱,男,無,7,,29
1,王英文,男,無,8,,43
1,陳重文,男,國民黨,9,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10009909_730210977011034_950474115_n.jpg?oh=91d8f310681db4f684c155f1f49b9d68&oe=54D4B7DE&__gda__=1424895832_6790744a5ff26e05f7e4c9ca8d75ddbb,37
1,黃平洋,男,國民黨,10,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10385482_734583636588670_6336926491310475929_n.jpg?oh=76a31930df395f88a9bc58415e7d5948&oe=54D759D2&__gda__=1423569514_d337b66d0c014989309c27478e387f4c,52
1,王小玉,女,親民黨,11,,62
1,楊靜宇,男,新黨,12,,53
1,汪志冰,女,國民黨,13,https://scontent-b-pao.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10731106_789327304438748_8769195917077846522_n.jpg?oh=20c4665df2c82a4b5f417fad7b6e000f&oe=54D4718A,57
1,林世宗,男,民進黨,14,http://www.dpponline.org.tw/public/img/portraits/%E6%9E%97%E4%B8%96%E5%AE%97large.jpg,55
1,王威中,男,民進黨,15,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10628070_814083848644330_2981865873744172058_n.jpg?oh=86047ede8cecc0ca5e16938c32f118e8&oe=54F8A87D&__gda__=1423742027_58dc65ae628bff222f88cafa135a13fb,31
1,吳思瑤,女,民進黨,16,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/c0.10.851.315/p851x315/1836595_763989620313965_132515333858095294_o.jpg,40
1,陳建銘,男,台灣團結聯盟,17,,53
1,何志偉,男,民進黨,18,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1380108_355882001241199_5212232727759944546_n.jpg?oh=2d5b1c916cdc8b65c41032f8b6da3def&oe=54D4ABF3&__gda__=1425263034_313aef076cf73b2666e081db437b6560,32
1,陳政忠,男,無,19,,59
1,陳慈慧,女,民進黨,20,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10731050_949360731759548_5245967888917100629_n.jpg?oh=f215449062854dd337cf2eb36179c141&oe=54AAEC97&__gda__=1424588107_dd8643bb8c750e1924eca47eb21a3fce,31
1,吳碧珠,女,國民黨,21,,65
2,許明偉,男,無,1,,60
2,陳義洲,男,國民黨,2,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10599476_551592001609369_8728392109447691851_n.jpg?oh=27fc0a85e74fe37b477a047e23ddaa1e&oe=54AA0D8C&__gda__=1423670714_3d5346293ae54630de1858b187aab5c5,62
2,趙家蓉,女,新黨,3,,52
2,黃子哲,男,國民黨,4,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpf1/v/t1.0-1/p160x160/10801711_309547725913723_7294515587349197896_n.jpg?oh=d6e8c78ffb6530446ea7853952eef748&oe=54EFAEC2&__gda__=1424424228_4931b87a191b2d9ef6cc142eb70c3b4c,40
2,黃珊珊,女,親民黨,5,,45
2,王孝維,男,民進黨,6,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s720x720/270944_526261694076606_2087230489_n.jpg?oh=25141fd160126405db8f96888eea09b9&oe=54F12D71&__gda__=1423488854_eace4395011f12ba5f1c307f1bcd4a68,53
2,李彥秀,女,國民黨,7,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/s720x720/10425389_778994865495798_8107120265942628332_n.jpg?oh=b7586b8d7c44ab7132d1df739c3a82ca&oe=54E5338F&__gda__=1423854130_dddc72b89338f8f76c1caf590fa12003,43
2,陳嘉霖,男,台灣團結聯盟,8,,36
2,余筱菁,女,"樹黨	",9,,34
2,闕枚莎,女,國民黨,10,https://scontent-b-sea.xx.fbcdn.net/hphotos-xpf1/v/l/t1.0-9/10003429_825863920773807_856161782_n.jpg?oh=5c4e60e378cda6c74864b77e8f5330cc&oe=54F68930,42
2,江志銘,男,民進黨,11,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10409645_866332433419278_8402221543231941534_n.jpg?oh=7f7edc8a6e27f592a6de904fa161a4ab&oe=54E24CB8&__gda__=1424794980_db975e6b8016972eb6f0b62b928a43e2,52
2,吳世正,男,國民黨,12,,51
2,李建昌,男,民進黨,13,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10641210_836547823056676_1567642890863491100_n.jpg?oh=71a8622ee76ad1b48d233f29fe528eaa&oe=54F6509C&__gda__=1425480512_8ca56317ba2ac3ecb3cbc85519ed3815,52
2,高嘉瑜,女,民進黨,14,https://images.plurk.com/3565413_010cd2a326a8b543b81ed83d5c4e9405.jpg,34
3,陳永德,男,國民黨,1,,49
3,秦慧珠,女,國民黨,2,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10428441_787275057977903_4280443322123532016_n.png?oh=df9318250a2939cbd6ed18d2ac3b6c05&oe=54BAED21&__gda__=1421906429_c0d0d9ccfbffa333414347197349f1d7,59
3,楊世光,男,新黨,3,,38
3,許家蓓,女,民進黨,4,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1975011_844854768882668_7632374353225969281_n.jpg?oh=021d598ba1598f7a27630e2b476ea774&oe=54E7BFC3&__gda__=1423329534_45a7387e1836a9af425fbd489b3a08c1,37
3,王博玉,男,無,5,,46
3,戴錫欽,男,國民黨,6,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10646647_855595887814543_3538027068924335654_n.jpg?oh=a3d0a3c20eaa65637defe9fdd8d1998c&oe=54EA92DC&__gda__=1425473462_bc8b16138bac63da43566a51e5752210,48
3,陳孋輝,女,國民黨,7,,52
3,洪士奇,男,親民黨,8,,52
3,潘翰疆,男,"樹黨	",9,,47
3,許淑華,女,民進黨,10,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t34.0-12/s720x720/10752123_4691900591082_858613924_n.jpg?oh=28aefd011136422e1e0acc5ea89ad798&oe=545C7275&__gda__=1415398644_7cd48efe1f52d636c411d54c8b986180,41
3,李卓翰,男,台灣團結聯盟,11,,45
3,王鴻薇,女,國民黨,12,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10731159_1017181348308176_3252931005552320039_n.jpg?oh=052c4f0fc90aa6e44bd5e038d463b636&oe=54DAC6A5&__gda__=1424994767_b57266f33b87f29d1c6146e8c0fc1454,50
3,洪健益,男,民進黨,13,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/c0.32.851.315/p851x315/10626248_842805145752052_99483281260460076_o.jpg,44
3,楊實秋,男,國民黨,14,,56
3,張茂楠,男,民進黨,15,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10448821_538786882892141_2291543546296813391_n.jpg?oh=042d4fc8cc01ffd3f91a51393a7b9ae0&oe=54E2BA9B&__gda__=1424407879_ec4758ad1aad575ba1b8a02c372a192d,54
3,徐世?,男,無,16,,38
3,王正德,男,國民黨,17,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/64255_879976412015337_1445502653055528359_n.png?oh=375e8777984340188bbe9eabbb188f57&oe=54DB5A8E&__gda__=1423517325_3189860311000a2f85268d88ff8fc6c2,58
4,陳炳甫,男,國民黨,1,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10518999_795577527169071_7005799587347245749_n.jpg?oh=22ec692760ab4f224f1902dae3b5e5b2&oe=54F66700&__gda__=1423142840_1c851a380866f8decad53892cd8cc7f0,43
4,鍾君竺,女,人民民主陣線,2,,37
4,黃向群,男,民進黨,3,https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10347234_779858568718687_3236234877175347199_n.jpg?oh=a70fbe1300b11e0dafaf7388900122f7&oe=54E23910&__gda__=1420416634_f2b4c11956f09489dfaed19832ef54b4,44
4,林婕麗,女,新黨,4,,48
4,梁文傑,男,民進黨,5,http://www.dpponline.org.tw/public/img/portraits/%E6%A2%81%E6%96%87%E5%82%91large.jpg,43
4,顏若芳,女,民進黨,6,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1016469_292630727604813_1122468559245296902_n.jpg?oh=462d08daef7abc4f4933396db54e6d9d&oe=54E681FB&__gda__=1425134514_46c01cc93f75c59ee00b8823ea6fc916,29
4,葉林傳,男,國民黨,7,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/536432_422488451097108_2104707612_n.jpg?oh=bfe20a2a652f192fdcb329ae40ac9787&oe=54D7DCA2&__gda__=1424000043_53bba307eeab15ea1f1976c07890a4b6,45
4,王世堅,男,民進黨,8,https://scontent-b-sjc.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10387536_774739595925113_5930953699681157742_n.jpg?oh=f06dc89bd1005e0722a81c8f777ce530&oe=54D239F5,54
4,林國成,男,親民黨,9,,57
4,王麗珠,女,國民黨,10,,57
4,簡聖哲,男,台灣團結聯盟,11,,32
4,鄭惠齡,女,"樹黨	",12,,28
4,林亭君,女,國民黨,13,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10175039_1528660717378618_7943785370240178582_n.jpg?oh=5b44488678d104218fcfe6157111a0e7&oe=54E157A8&__gda__=1423655715_53ac0219264d445a7cc54288a99bde93,30
4,楊鎮雄,男,無,14,,64
5,徐立信,男,無,1,,39
5,?文章,男,華聲黨,2,,61
5,康明道,男,無,3,,43
5,吳志剛,男,國民黨,4,https://scontent-a-sjc.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10356398_647415008675445_9179926668211580628_n.jpg?oh=2b552f6811b720fee9f524524621402b&oe=54DCB0D0,43
5,謝建平,男,台灣團結聯盟,5,,49
5,童仲彥,男,民進黨,6,http://www.17talk.com.tw/guide_img/239_ocu.jpg,41
5,周威佑,男,民進黨,7,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1907391_692320530852538_1225885192312835861_n.jpg?oh=b41fb3259def5b3531ff391c80a776b0&oe=54F1D663&__gda__=1424751454_460bc61ef8548bde54764cb4c6299a93,52
5,劉耀仁,男,民進黨,8,https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10384596_10202929063056721_8715890223759457530_n.jpg?oh=43609c523f43cf537d93839d6f62ff55&oe=54D4CFE6&__gda__=1425229443_107ff942d558c986a8ea9c55dc1b76b2,46
5,應曉薇,女,國民黨,9,,50
5,林佳諭,女,"樹黨	",10,,27
5,郭昭巖,女,國民黨,11,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10338755_577111659062250_2622832679399062590_n.jpg?oh=4b98d1d227d3ca0c69b4b69826b6afcf&oe=54F6BDA5&__gda__=1424661036_ba2e265d901aa7f653e51460303b02c8,45
5,鍾小平,男,國民黨,12,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/1375263_417245548374886_1003072347_n.png?oh=13b7d5cd03fd5efb3b748d906505adbf&oe=54E2061C&__gda__=1425446136_461019a0c4410e3e40a6995760909dd5,52
5,顏聖冠,女,民進黨,13,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1743595_10201902532204026_4419431322859969346_n.jpg?oh=0d9f729230e0b26d815b0f8a66e37cab&oe=54F380E0&__gda__=1425044441_532518ff0d6f7f996c20de843b62a6c5,46
5,陳蓋武,男,親民黨,14,,40
5,張榮法,男,新黨,15,,42
6,陳彥伯,男,新黨,1,,45
6,孫仲康,男,無,2,,50
6,厲耿桂芳,女,國民黨,3,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10520679_869930983040215_1075300969425263468_n.jpg?oh=8042523439b8ddcb9ac80f69b493521b&oe=54F3F278&__gda__=1423766720_01a3e65dc30f891e2f5498f9ea27eede,68
6,王欣儀,女,國民黨,4,http://2014.dailyview.tw/Content/Upload/ThemeImages/2014-10/4d8d144d-ff1e-4f8d-9534-34e6e5a758be.jpg,44
6,陳錦祥,男,國民黨,5,,55
6,丁增義,男,無,6,,55
6,潘翰聲,男,"樹黨	",7,,44
6,歐陽龍,男,國民黨,8,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10346047_524479794354433_496297791424487643_n.jpg?oh=e5d2d411749bb5e715a549643a0b8e3b&oe=54D1E7F9&__gda__=1425172400_c629dc4544a9bbd35060d66ac165ca6e,54
6,王閔生,男,民進黨,9,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10177965_844328792246661_3466918357004723105_n.jpg?oh=091e0208f74068b792be9a014f2a65c6&oe=54EB7C41&__gda__=1421185736_ce5ee773b2a1bf9595d0982f6dc20812,39
6,青天,男,無,10,,59
6,何啟聖,男,親民黨,11,,50
6,王致雅,女,國民黨,12,https://scontent-a-pao.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/644371_649208558531046_7972232503499538819_n.png?oh=aae0f4ff19e97114e5ba94cebc8a3bd9&oe=54E61A99,43
6,徐弘庭,男,國民黨,13,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10403628_304180666448484_1561586198331356904_n.jpg?oh=d06a3f22ebf283b5014771436dde5f83&oe=54DF570E&__gda__=1424175928_9d39c89c3ead71a506d491549ca44bec,32
6,聶紹雄,男,無,14,,68
6,周柏雅,男,民進黨,15,http://image-cdn.dropr.com/image/dropr_sU1WsKbErfGBKYbr0Qy0yCQHuxiCzupg_r1_920x1840.jpg,55
6,李慶鋒,男,民進黨,16,http://legacy.nownews.com/wenewsflv/85/b_we_85787_131794.jpg,47
6,阮昭雄,男,民進黨,17,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/63716_10152483374189227_4282606578996987389_n.jpg?oh=2ed96fec1086bf7272afd55b2e241d9a&oe=54ED9D52&__gda__=1424429167_fac0dc23dd790edcc291916ffe8ed613,44
6,李新,男,國民黨,18,https://scontent-b-pao.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10177918_1530442540530296_1946009137717723082_n.jpg?oh=e9acff232dd47dd47811ba7ea62e84a1&oe=54DA6193,61
6,謝啟大,女,無,19,,65
6,歐陽瑞蓮,女,台灣團結聯盟,20,,38
6,簡舒培,女,民進黨,21,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10557428_711514448926212_1732658472106231494_n.jpg?oh=aeabbcd6aa11943aec3bc8a7f2289e3b&oe=54F24156&__gda__=1423957088_a661a3b8fe70678377c2c6801dc43fff,37
6,李慶元,男,國民黨,22,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10390313_759722140745012_6925490365003851533_n.jpg?oh=bfbdd1d1771d46e1886056765f2a7e6f&oe=54D7F5E3&__gda__=1425168009_3045c3170207bcdf2d6b32bccfe68de0,56
